,symbol,max,min,ult,mov,moneda,fecha,hora,origen
61,GRF.MC,22.020000457763672,21.479999542236328,21.71999931335449,-1.2727303938432186,Euro,2021-09-29,12:54:34,YahooFinance
62,GRF.MC,21.809999465942383,20.670000076293945,21.07999992370605,-3.03587789494334,Euro,2021-09-30,12:54:34,YahooFinance
63,GRF.MC,21.190000534057617,20.790000915527344,21.190000534057617,1.1455835913033638,Euro,2021-10-01,12:54:34,YahooFinance
64,GRF.MC,21.96999931335449,21.06999969482422,21.729999542236328,2.888251319904171,Euro,2021-10-04,12:54:34,YahooFinance
65,GRF.MC,21.780000686645508,21.36000061035156,21.450000762939453,-1.288535596849158,Euro,2021-10-05,12:54:34,YahooFinance
66,GRF.MC,22.100000381469727,21.25,21.26000022888184,-3.363635323264376,Euro,2021-10-06,12:54:34,YahooFinance
67,GRF.MC,21.299999237060547,20.809999465942383,21.15999984741211,-0.2827496130248335,Euro,2021-10-07,12:54:34,YahooFinance
68,GRF.MC,21.049999237060547,20.299999237060547,20.299999237060547,-2.870815274741716,Euro,2021-10-08,12:54:34,YahooFinance
69,GRF.MC,20.399999618530277,19.70499992370605,19.799999237060547,-2.9411783955364257,Euro,2021-10-11,12:54:34,YahooFinance
70,GRF.MC,20.299999237060547,19.59499931335449,19.690000534057617,-0.1774390202039768,Euro,2021-10-12,12:54:34,YahooFinance
71,GRF.MC,20.200000762939453,19.6200008392334,20.149999618530277,1.7676787624042731,Euro,2021-10-13,12:54:34,YahooFinance
72,GRF.MC,20.670000076293945,20.190000534057617,20.6299991607666,1.425757158324373,Euro,2021-10-14,12:54:34,YahooFinance
73,GRF.MC,20.809999465942383,20.3799991607666,20.5,-0.6782916365717142,Euro,2021-10-15,12:54:34,YahooFinance
74,GRF.MC,20.649999618530277,20.170000076293945,20.299999237060547,-1.1203187622617747,Euro,2021-10-18,12:54:34,YahooFinance
75,GRF.MC,20.25,19.725000381469727,19.895000457763672,-0.7730612727923472,Euro,2021-10-19,12:54:34,YahooFinance
76,GRF.MC,20.09000015258789,19.770000457763672,20.020000457763672,0.350875649860896,Euro,2021-10-20,12:54:34,YahooFinance
77,GRF.MC,20.399999618530277,19.850000381469727,20.38999938964844,2.308073644902024,Euro,2021-10-21,12:54:34,YahooFinance
78,GRF.MC,20.540000915527344,20.149999618530277,20.200000762939453,-1.2707640917272585,Euro,2021-10-22,12:54:34,YahooFinance
79,GRF.MC,20.440000534057617,20.040000915527344,20.440000534057617,0.7889538559901013,Euro,2021-10-25,12:54:34,YahooFinance
80,GRF.MC,20.600000381469727,20.21999931335449,20.32999992370605,-0.0491653333668438,Euro,2021-10-26,12:54:34,YahooFinance
81,GRF.MC,20.38999938964844,19.850000381469727,19.850000381469727,-1.8298661941120715,Euro,2021-10-27,12:54:34,YahooFinance
82,GRF.MC,19.989999771118164,19.739999771118164,19.84000015258789,-0.2012022629138243,Euro,2021-10-28,12:54:34,YahooFinance
